schools_province,province_english,level,totalstd,pp3year,totalmale,totalfemale
กระบี่,Krabi,ม.6,973,2566,340,633
กรุงเทพมหานคร,Bangkok,ม.6,10585,2566,4094,6491
กาญจนบุรี,Kanchanaburi,ม.6,1923,2566,725,1198
กาฬสินธุ์,Kalasin,ม.6,2110,2566,751,1359
กำแพงเพชร,Kamphaeng Phet,ม.6,2065,2566,825,1240
ขอนแก่น,Khon Kaen,ม.6,1704,2566,680,1024
จันทบุรี,Chanthaburi,ม.6,1635,2566,750,885
ฉะเชิงเทรา,Chachoengsao,ม.6,1375,2566,612,763
ชลบุรี,Chonburi,ม.6,5929,2566,2102,3827
ชัยนาท,Chainat,ม.6,970,2566,353,617
ชัยภูมิ,Chaiyaphum,ม.6,1025,2566,446,579
ชุมพร,Chumphon,ม.6,2070,2566,783,1287
ตรัง,Trang,ม.6,2865,2566,1079,1786
ตราด,Trat,ม.6,832,2566,296,536
ตาก,Tak,ม.6,1941,2566,675,1266
นครนายก,Nakhon Nayok,ม.6,239,2566,95,144
นครปฐม,Nakhon Pathom,ม.6,2450,2566,1170,1280
นครพนม,Nakhon Phanom,ม.6,2366,2566,869,1497
นครราชสีมา,Nakhon Ratchasima,ม.6,3595,2566,1073,2522
นครศรีธรรมราช,Nakhon Si Thammarat,ม.6,5108,2566,1849,3259
นครสวรรค์,Nakhon Sawan,ม.6,1668,2566,644,1024
นนทบุรี,Nonthaburi,ม.6,2149,2566,803,1346
นราธิวาส,Narathiwat,ม.6,1291,2566,468,823
น่าน,Nan,ม.6,1136,2566,475,661
บึงกาฬ,Bueng Kan,ม.6,1123,2566,378,745
บุรีรัมย์,Buriram,ม.6,3755,2566,1330,2425
ปทุมธานี,Pathum Thani,ม.6,3700,2566,1615,2085
ประจวบคีรีขันธ์,Prachuap Khiri Khan,ม.6,1244,2566,446,798
ปราจีนบุรี,Prachinburi,ม.6,1883,2566,669,1214
ปัตตานี,Pattani,ม.6,555,2566,187,368
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ม.6,2309,2566,893,1416
พะเยา,Phayao,ม.6,609,2566,236,373
พังงา,Phang Nga,ม.6,326,2566,131,195
พัทลุง,Phatthalung,ม.6,985,2566,391,594
พิจิตร,Phichit,ม.6,1594,2566,608,986
พิษณุโลก,Phitsanulok,ม.6,1911,2566,846,1065
ภูเก็ต,Phuket,ม.6,771,2566,184,587
มหาสารคาม,Maha Sarakham,ม.6,1558,2566,594,964
มุกดาหาร,Mukdahan,ม.6,635,2566,235,400
ยะลา,Yala,ม.6,102,2566,29,73
ยโสธร,Yasothon,ม.6,799,2566,288,511
ระนอง,Ranong,ม.6,901,2566,325,576
ระยอง,Rayong,ม.6,3334,2566,1210,2124
ราชบุรี,Ratchaburi,ม.6,2518,2566,964,1554
ร้อยเอ็ด,Roi Et,ม.6,1595,2566,613,982
ลพบุรี,Lopburi,ม.6,1127,2566,413,714
ลำปาง,Lampang,ม.6,1114,2566,426,688
ลำพูน,Lamphun,ม.6,584,2566,230,354
ศรีสะเกษ,Sisaket,ม.6,2025,2566,657,1368
สกลนคร,Sakon Nakhon,ม.6,2703,2566,836,1867
สงขลา,Songkhla,ม.6,2378,2566,893,1485
สตูล,Satun,ม.6,1157,2566,350,807
สมุทรปราการ,Samut Prakan,ม.6,1983,2566,788,1195
สมุทรสงคราม,Samut Songkhram,ม.6,241,2566,101,140
สมุทรสาคร,Samut Sakhon,ม.6,841,2566,368,473
สระบุรี,Saraburi,ม.6,1763,2566,674,1089
สระแก้ว,Sa Kaeo,ม.6,1153,2566,412,741
สิงห์บุรี,Singburi,ม.6,133,2566,55,78
สุพรรณบุรี,Suphan Buri,ม.6,2954,2566,1106,1848
สุราษฎร์ธานี,Surat Thani,ม.6,3961,2566,1487,2474
สุรินทร์,Surin,ม.6,2872,2566,805,2067
สุโขทัย,Sukhothai,ม.6,1807,2566,799,1008
หนองคาย,Nong Khai,ม.6,1295,2566,488,807
หนองบัวลำภู,Nong Bua Lamphu,ม.6,169,2566,74,95
อำนาจเจริญ,Amnat Charoen,ม.6,933,2566,347,586
อุดรธานี,Udon Thani,ม.6,2966,2566,947,2019
อุตรดิตถ์,Uttaradit,ม.6,799,2566,318,481
อุทัยธานี,Uthai Thani,ม.6,653,2566,265,388
อุบลราชธานี,Ubon Ratchathani,ม.6,2366,2566,796,1570
อ่างทอง,Ang Thong,ม.6,1160,2566,430,730
เชียงราย,Chiang Rai,ม.6,2732,2566,1045,1687
เชียงใหม่,Chiang Mai,ม.6,2263,2566,852,1411
เพชรบุรี,Phetchaburi,ม.6,855,2566,350,505
เพชรบูรณ์,Phetchabun,ม.6,1103,2566,394,709
เลย,Loei,ม.6,1514,2566,529,985
แพร่,Phrae,ม.6,1247,2566,369,878
แม่ฮ่องสอน,Mae Hong Son,ม.6,896,2566,336,560
